panda_slug,asset,source_url,rights,credit,alt_zh,alt_en,review_status,notes
lun-lun,https://commons.wikimedia.org/wiki/Special:Redirect/file/Lun_Lun_at_Zoo_Atlanta.jpg,https://commons.wikimedia.org/wiki/File:Lun_Lun_at_Zoo_Atlanta.jpg,CC BY-SA 4.0,O01326 / Wikimedia Commons,伦伦坐在亚特兰大动物园的木质栖架旁,Lun Lun sitting beside a wooden habitat structure at Zoo Atlanta,approved,Individual identity and license reviewed from the exact Commons file page.
yang-yang,https://commons.wikimedia.org/wiki/Special:Redirect/file/Yang_Yang_at_Zoo_Atlanta.jpg,https://commons.wikimedia.org/wiki/File:Yang_Yang_at_Zoo_Atlanta.jpg,CC BY-SA 4.0,O01326 / Wikimedia Commons,洋洋在亚特兰大动物园的栖息地内休息,Yang Yang resting in his habitat at Zoo Atlanta,approved,Individual identity and license reviewed from the exact Commons file page.
ya-lun,https://commons.wikimedia.org/wiki/Special:Redirect/file/Ya_Lun_at_Zoo_Atlanta.jpg,https://commons.wikimedia.org/wiki/File:Ya_Lun_at_Zoo_Atlanta.jpg,CC BY-SA 4.0,O01326 / Wikimedia Commons,雅伦在亚特兰大动物园的栖息地内坐着,Ya Lun sitting in her habitat at Zoo Atlanta,approved,Individual identity and license reviewed from the exact Commons file page.
ri-ri,https://commons.wikimedia.org/wiki/Special:Redirect/file/Ri_Ri.jpg?width=1600,https://commons.wikimedia.org/wiki/File:Ri_Ri.jpg,CC BY-SA 4.0,EleniXDD / Wikimedia Commons,力力在上野动物园,Ri Ri at Ueno Zoo,approved,Individual identity and license reviewed from the exact Commons file page.
shin-shin,https://commons.wikimedia.org/wiki/Special:Redirect/file/Shin_Shin_03.jpg?width=1600,https://commons.wikimedia.org/wiki/File:Shin_Shin_03.jpg,CC BY-SA 4.0,EleniXDD / Wikimedia Commons,真真在上野动物园吃竹子,Shin Shin eating bamboo at Ueno Zoo,approved,Individual identity and license reviewed from the exact Commons file page.
xiao-xiao,https://commons.wikimedia.org/wiki/Special:Redirect/file/Ailuropoda_melanoleuca_Xiao_Xiao_220518e.jpg?width=1600,https://commons.wikimedia.org/wiki/File:Ailuropoda_melanoleuca_Xiao_Xiao_220518e.jpg,CC BY-SA 4.0,江戸村のとくぞう / Wikimedia Commons,晓晓在上野动物园的栖息地内,Xiao Xiao in his habitat at Ueno Zoo,approved,Individual identity and license reviewed from the exact Commons file page.
lei-lei,https://commons.wikimedia.org/wiki/Special:Redirect/file/Ailuropoda_melanoleuca_Lei_Lei_Xiao_Xiao_220610h.jpg?width=1600,https://commons.wikimedia.org/wiki/File:Ailuropoda_melanoleuca_Lei_Lei_Xiao_Xiao_220610h.jpg,CC BY-SA 4.0,江戸村のとくぞう / Wikimedia Commons,蕾蕾与晓晓在上野动物园的栖息地内相伴,Lei Lei and Xiao Xiao together in their habitat at Ueno Zoo,approved,The exact Commons file page identifies both twins; this group photograph is associated with Lei Lei without implying an individual portrait.
xi-lun,https://commons.wikimedia.org/wiki/Special:Redirect/file/Xi_Lun_at_Zoo_Atlanta.jpg?width=1600,https://commons.wikimedia.org/wiki/File:Xi_Lun_at_Zoo_Atlanta.jpg,CC BY-SA 4.0,O01326 / Wikimedia Commons,喜伦在亚特兰大动物园的栖息地内坐着,Xi Lun sitting in her habitat at Zoo Atlanta,approved,"Exact Commons Action API candidate from issue 89; uploader, artist, own-work credit, CC BY-SA 4.0 license, attribution, original dimensions, original bytes, and original SHA-1 reviewed. Wikimedia returned 429 for the 18 MB original and instructed clients to use available thumbnails, so processing uses the official 1600 px derivative without identity switching."
bao-li,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Bao_Li.jpg/1920px-Bao_Li.jpg,https://commons.wikimedia.org/wiki/File:Bao_Li.jpg,CC BY-SA 4.0,Melina Kolburn / Wikimedia Commons,宝力在史密森尼国家动物园的栖息地内,Bao Li in his habitat at Smithsonian's National Zoo,approved,Commons API reviewed 2026-07-23: exact title File:Bao Li.jpg; description identifies Bao Li at the Smithsonian National Zoo; photographer Melina Kolburn; CC BY-SA 4.0; 4752x3168 JPEG; original SHA-1 57e368f85cd620e828436f14b7efbf4316643aff.
qing-bao,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Qing_Bao-5_-_54260941750.jpg/1920px-Qing_Bao-5_-_54260941750.jpg,https://commons.wikimedia.org/wiki/File:Qing_Bao-5_-_54260941750.jpg,CC BY 2.0,Mike Maguire / Wikimedia Commons,疑似青宝在史密森尼国家动物园的雪地中吃竹子,Probable Qing Bao eating bamboo in the snow at Smithsonian's National Zoo,collection_only,Private collection only: the Commons description says the photographer is not fully confident the panda is Qing Bao. The image remains displayable with probable identity wording and must not be represented as a certain individual identification.
