slug,name_zh,name_en,gender,birth_date,birth_date_precision,birth_date_text,death_date,status,birthplace,current_location,father_slug,mother_slug,intro,tags,is_featured,primary_source_ids,evidence_status,review_status,notes
bao-li,宝力,Bao Li,male,2021-08-04,day,Aug. 4 2021,,alive,"China Conservation and Research Center for the Giant Panda, Sichuan","Smithsonian National Zoo, Washington, D.C.",an-an,bao-bao,"Male Smithsonian giant panda born in Sichuan and connected to the Tian Tian/Mei Xiang line.","smithsonian;current-us",true,src_smithsonian_giant_panda_faq;src_smithsonian_giant_panda_page,verified,draft,"Mother Bao Bao is already represented; father An An needs separate profile record."
qing-bao,青宝,Qing Bao,female,2021-09-12,day,Sept. 12 2021,,alive,"China Conservation and Research Center for the Giant Panda, Sichuan","Smithsonian National Zoo, Washington, D.C.",qing-qing,jia-mei,"Female Smithsonian giant panda born in Sichuan and raised at Dujiangyan Base before transfer.","smithsonian;current-us",true,src_smithsonian_giant_panda_faq;src_smithsonian_giant_panda_page,verified,draft,"Parents Qing Qing and Jia Mei need separate profile records."
an-an,,An An,male,,unknown,,,unknown,,China,,,"Father of Bao Li; only parent identity has been captured so far.","lineage-placeholder;smithsonian",false,src_smithsonian_giant_panda_faq,partial,draft,"Needs exact name characters, birth date, and current facility."
qing-qing,,Qing Qing,male,,unknown,,,unknown,,China,,,"Father of Qing Bao; only parent identity has been captured so far.","lineage-placeholder;smithsonian",false,src_smithsonian_giant_panda_faq,partial,draft,"Needs exact name characters, birth date, and current facility."
jia-mei,,Jia Mei,female,,unknown,,,unknown,,China,,,"Mother of Qing Bao; only parent identity has been captured so far.","lineage-placeholder;smithsonian",false,src_smithsonian_giant_panda_faq,partial,draft,"Needs exact name characters, birth date, and current facility."
tian-tian,天天,Tian Tian,male,1997-08-27,day,Aug. 27 1997,,alive,"Wolong, China",China,pan-pan-baoxing,yong-ba,"Former Smithsonian male and father of Tai Shan, Bao Bao, Bei Bei, and Xiao Qi Ji; GPG Yong Ba obituary identifies Pan Pan and Yong Ba as parents.","smithsonian;returned-to-china;lineage-anchor",false,src_smithsonian_agreement_2020;src_smithsonian_history;src_gpg_yongba_death,partial,draft,"Core Smithsonian facts are verified; parentage from secondary GPG obituary still needs studbook confirmation. Exact post-return facility in China needs a current primary source."
mei-xiang,美香,Mei Xiang,female,1998-07-22,day,July 22 1998,,alive,"Wolong, China",China,,,"Former Smithsonian female and mother of Tai Shan, Bao Bao, Bei Bei, and Xiao Qi Ji.","smithsonian;returned-to-china;lineage-anchor",false,src_smithsonian_agreement_2020;src_smithsonian_history,verified,draft,"Exact post-return facility in China needs a current primary source."
tai-shan,泰山,Tai Shan,male,2005-07-09,day,July 9 2005,,alive,"Smithsonian National Zoo","CCRCGP Wolong Gengda Base, Wolong, Sichuan Province, China",tian-tian,mei-xiang,"First surviving Smithsonian-born cub of Tian Tian and Mei Xiang; later listed at CCRCGP Wolong Gengda Base in a secondary current index.","smithsonian;returned-to-china;ccrcgp-wolong-gengda-base;gpg-index",false,src_smithsonian_agreement_2020;src_smithsonian_history;src_gpg_wolong_gengda_profiles,partial,draft,"Smithsonian source verifies birth/lineage and China return; Gengda current location relies on secondary GPG and needs primary holder confirmation."
bao-bao,宝宝,Bao Bao,female,2013-08-23,day,Aug. 23 2013,,alive,"Smithsonian National Zoo","CCRCGP Wolong Gengda Base, Wolong, Sichuan Province, China",tian-tian,mei-xiang,"Smithsonian-born female and mother of Bao Li; later listed at CCRCGP Wolong Gengda Base in GPG current index.","smithsonian;returned-to-china;lineage-anchor;ccrcgp-wolong-gengda-base;gpg-index",false,src_smithsonian_agreement_2020;src_smithsonian_history;src_smithsonian_giant_panda_faq;src_gpg_wolong_gengda_current_page_2,partial,draft,"Core Smithsonian birth/lineage facts are official; current Gengda location relies on secondary GPG and needs primary holder confirmation."
bao-bao-berlin,,Bao Bao,male,,year_text,1978,2012-08-22,deceased,China,"Zoo Berlin, Germany",,,"Historic Zoo Berlin male giant panda and former oldest living male panda.","zoo-berlin;historic;deceased;current-europe",false,src_zoo_berlin_panda_history;src_gpg_baobao_death_2012;src_chinadaily_baobao_death,partial,draft,"Uses suffix to avoid Smithsonian-born female Bao Bao; official Zoo Berlin confirms death date and history, GPG/ChinaDaily support birth-year and age context."
bei-bei,贝贝,Bei Bei,male,2015-08-22,day,Aug. 22 2015,,alive,"Smithsonian National Zoo","CCRCGP Wolong Shenshuping Base, Sichuan, China",tian-tian,mei-xiang,"Smithsonian-born male returned to China in 2019 and later appeared at CCRCGP Wolong Shenshuping Base.","smithsonian;returned-to-china;current-china;shenshuping",false,src_smithsonian_agreement_2020;src_smithsonian_history;src_ccrcgp_2025_birthday_season,verified,draft,"Current Shenshuping presence confirmed by 2025 Xinhua birthday-season report."
xiao-qi-ji,小奇迹,Xiao Qi Ji,male,2020-08-21,day,Aug. 21 2020,,alive,"Smithsonian National Zoo","CCRCGP Wolong Shenshuping Base, Sichuan, China",tian-tian,mei-xiang,"Smithsonian-born male cub returned to China with Mei Xiang and Tian Tian in 2023 and later appeared at CCRCGP Wolong Shenshuping Base.","smithsonian;returned-to-china;current-china;shenshuping",false,src_smithsonian_agreement_2020;src_smithsonian_history;src_ccrcgp_2025_birthday_season,verified,draft,"Current Shenshuping presence confirmed by 2025 Xinhua birthday-season report."
ling-lang,玲琅,Ling Lang,female,,age_text,"7 years old in 2025",,alive,"China Conservation and Research Center for the Giant Panda, China","CCRCGP Wolong Shenshuping Base, Sichuan, China",,,"Female CCRCGP panda who gave birth to the center's first 2025 cub at Wolong Shenshuping Base.","ccrcgp;shenshuping;lineage-anchor;2025-breeding",false,src_ccrcgp_2025_first_cub,partial,draft,"Official source gives age and breeding event, but not exact birth date or parentage."
ya-xing,雅星,Ya Xing,male,,unknown,,,alive,"China Conservation and Research Center for the Giant Panda, China","China Conservation and Research Center for the Giant Panda, China",,,"Male CCRCGP panda who naturally mated with Ling Lang before the 2025 first-cub birth.","ccrcgp;lineage-anchor;2025-breeding",false,src_ccrcgp_2025_first_cub,partial,draft,"Only breeding role is captured so far; exact birth date and current base need a direct profile source."
unnamed-linglang-2025,玲琅2025幼崽,Ling Lang 2025 cub,unknown,2025-06-21,day,June 21 2025,,alive,"CCRCGP Wolong Shenshuping Base, Sichuan, China","CCRCGP Wolong Shenshuping Base, Sichuan, China",ya-xing,ling-lang,"First giant panda cub born at CCRCGP in the 2025 breeding season.","ccrcgp;shenshuping;2025-class;locally-born;unnamed",false,src_ccrcgp_2025_first_cub,partial,draft,"Official source confirms birth date/time and parents, but cub name and sex were not yet available."
qi-zai,七仔,Qizai,male,,year_text,2009,,alive,"Foping National Nature Reserve, Shaanxi, China","Qinling Sibao Science Park, Shaanxi, China",,,"Rare brown-and-white Qinling giant panda rescued as a cub and later displayed at Qinling Giant Panda Base / Sibao Science Park.","qinling;brown-panda;current-china;rescued-wild-cub",false,src_cctv_qizai_adoption_2019;src_forestry_qinling_qizai_2025,verified,draft,"Exact birthday not captured; current location updated from 2025 National Forestry report."
xue-xue-qinling,雪雪,Xue Xue,female,,year_text,1988,,alive,China,"SWARC Louguantai, Shaanxi Province, China",,,"Mother of Lou Sheng, Qinling Giant Panda Research Center's first artificially bred panda; also listed in Baoxing transfer history.","qinling;baoxing-education-center;lineage-placeholder;gpg-index",false,src_chinanews_lousheng_birthday_2023;src_gpg_baoxing_profiles,partial,draft,"Parent role is primary-media-backed; birth year/current location are secondary discovery facts needing holder or studbook confirmation."
ping-ping-qinling,屏屏,Ping Ping,male,,unknown,,,unknown,China,China,,,"Father of Lou Sheng, Qinling Giant Panda Research Center's first artificially bred panda.","qinling;lineage-placeholder",false,src_chinanews_lousheng_birthday_2023,partial,draft,"Slug uses Qinling suffix to avoid collision with Chengdu Ping Ping; exact profile needs primary holder/studbook source."
lou-sheng,楼生,Lou Sheng,female,2003-08-02,day,August 2 2003,,alive,"Qinling Giant Panda Research Center, Shaanxi, China","Qinling Giant Panda Research Center, Shaanxi, China",ping-ping-qinling,xue-xue-qinling,"First artificially bred giant panda at Qinling Giant Panda Research Center; mother of five litters and seven cubs by 2023.","qinling;lineage-anchor;current-china",false,src_chinanews_lousheng_birthday_2023,verified,draft,"Parent links are source-backed by China News report."
