source_id,source_type,publisher,title,url,published_date,accessed_at,reliability,allowed_use,notes
src_smithsonian_giant_panda_faq,official_profile,Smithsonian National Zoo and Conservation Biology Institute,Giant Panda FAQs,https://nationalzoo.si.edu/animals/giant-panda-faqs,,2026-05-09,primary_fact,profile_facts_only,"Bao Li and Qing Bao birth dates, parents, source bases, and current Smithsonian identity."
src_smithsonian_giant_panda_page,official_profile,Smithsonian National Zoo and Conservation Biology Institute,Giant panda,https://nationalzoo.si.edu/animals/giant-panda,,2026-05-09,primary_fact,profile_facts_only,Current Smithsonian panda summaries plus historic return notes.
src_smithsonian_agreement_2020,official_news,Smithsonian National Zoo and Conservation Biology Institute,Smithsonian extends giant panda agreement,https://nationalzoo.si.edu/news/smithsonians-national-zoo-and-conservation-biology-institute-extends-giant-panda-agreement,2020-12-07,2026-05-09,primary_fact,profile_facts_only,Mei Xiang/Tian Tian offspring dates and Xiao Qi Ji agreement context.
src_smithsonian_history,official_profile,Smithsonian National Zoo and Conservation Biology Institute,History of Giant Pandas at the Smithsonian's National Zoo and Conservation Biology Institute,https://nationalzoo.si.edu/animals/history-giant-pandas-zoo,,2026-05-09,primary_fact,profile_facts_only,"Smithsonian panda timeline, Xiao Qi Ji birth, and 2023 departure."
src_sandiego_giant_pandas,official_profile,San Diego Zoo,Giant Pandas at the San Diego Zoo,https://zoo.sandiegozoo.org/giant-pandas,,2026-05-09,primary_fact,profile_facts_only,Yun Chuan and Xin Bao current San Diego Zoo profile.
src_sandiego_panda_cam,official_profile,San Diego Zoo,Giant Panda Cam,https://zoo.sandiegozoo.org/cams/giant-panda-cam,,2026-05-09,primary_fact,profile_facts_only,Yun Chuan/Xin Bao ages and Xin Bao Shenshuping origin.
src_sandiego_best_is_yet,official_news,San Diego Zoo Wildlife Alliance Stories,The Best Is Yet to Come,https://blogs.sandiegozoo.org/2024/04/29/the-best-is-yet-to-come/,2024-04-29,2026-05-09,primary_fact,profile_facts_only,Yun Chuan and Xin Bao background before San Diego transfer.
src_sandiego_harmony,official_news,San Diego Zoo Wildlife Alliance Stories,Harmony in Black and White,https://stories.sdzwa.org/2024/06/26/harmony-in-black-and-white/,2024-06-26,2026-05-09,primary_fact,profile_facts_only,San Diego legacy cub list and Yun Chuan family context.
src_china_gov_sandiego,government_media,English Gov.cn / Xinhua,China to send 2 giant pandas to U.S.,https://english.www.gov.cn/news/202404/28/content_WS662d8a6fc6d0868f4e8e6825.html,2024-04-28,2026-05-09,primary_fact,profile_facts_only,CWCA selection of Yun Chuan and Xin Bao for San Diego cooperation.
src_zooatlanta_lun_lun,official_profile,Zoo Atlanta,Lun Lun,https://zooatlanta.org/animal-legend/lun-lun/,,2026-05-09,primary_fact,profile_facts_only,"Lun Lun birthday, origin, offspring list, and 2024 return."
src_zooatlanta_yang_yang,official_profile,Zoo Atlanta,Yang Yang,https://zooatlanta.org/animal-legend/yang-yang/,,2026-05-09,primary_fact,profile_facts_only,"Yang Yang birthday, origin, offspring list, and 2024 return."
src_zooatlanta_cubs_birth,official_news,Zoo Atlanta,Lun Lun's Second Cub Has Been Born,https://zooatlanta.org/press-release/lun-luns-second-cub-has-been-born/,2016-09-03,2026-05-09,primary_fact,profile_facts_only,2016 twin birth time and Zoo Atlanta offspring list.
src_zooatlanta_twins_names,official_news,Zoo Atlanta,Meet the Giant Panda Cub Twins,https://zooatlanta.org/meet-giant-panda-cub-twins-zoo-atlanta/,2017-04-03,2026-05-09,primary_fact,profile_facts_only,Ya Lun and Xi Lun names and sexes.
src_zooatlanta_departure_twins,official_news,Zoo Atlanta,Departure Date Set For Giant Pandas,https://zooatlanta.org/press-release/departure-date-set-for-giant-pandas/,2016-10-20,2026-05-09,primary_fact,profile_facts_only,Mei Lun/Mei Huan birth date and earlier offspring dates.
src_zooatlanta_arrival_china_2024,official_news,Zoo Atlanta,Giant Pandas Have Arrived in China,https://zooatlanta.org/press-release/giant-pandas-have-arrived-in-china/,2024-10-13,2026-07-20,primary_fact,profile_facts_only,"Lun Lun, Yang Yang, Ya Lun, and Xi Lun departed Atlanta on 2024-10-12 and arrived in Chengdu on 2024-10-13."
src_zooatlanta_2016_public_debut,official_news,Zoo Atlanta,Zoo Atlanta closes 2016,https://zooatlanta.org/press-release/zoo-atlanta-closes-2016/,2016-12-29,2026-07-20,primary_fact,profile_facts_only,Ya Lun and Xi Lun began entering the public dayroom habitat on 2016-12-27.
src_commons_lun_lun_photo,media_repository,Wikimedia Commons,Lun Lun at Zoo Atlanta,https://commons.wikimedia.org/wiki/File:Lun_Lun_at_Zoo_Atlanta.jpg,2022-02-08,2026-07-20,media_rights_record,licensed_media_only,"Individual identification, author O01326, and CC BY-SA 4.0 license record."
