dataset_release_version,public_schema_version,id,canonical_slug,name_zh,name_en,sex,life_status,public_json
2026.07.20.1,1.2.0,1a05a5dc-1926-5355-9d81-c2a43189d50b,bei-bei,贝贝,Bei Bei,male,alive,"{""aliases"":[],""canonical_slug"":""bei-bei"",""content"":[{""locale"":""zh-CN"",""summary"":""美香与添添之子，2015 年出生于史密森国家动物园，现居卧龙神树坪基地。"",""translation_status"":""approved""},{""locale"":""en"",""summary"":""Son of Mei Xiang and Tian Tian, born at the Smithsonian in 2015 and currently recorded at Wolong Shenshuping Base."",""translation_status"":""approved""}],""cover_image_url"":null,""external_identifiers"":[{""source_ids"":[""src_smithsonian_history""],""system"":""smithsonian_history_key"",""value"":""bei-bei""}],""legacy_slugs"":[{""source_ids"":[""src_smithsonian_history""],""value"":""beibei""}],""life_status"":""alive"",""media"":[],""media_release"":{""display_mode"":""designed_empty_state"",""license_state"":""no_licensed_media"",""source_ids"":[]},""names"":[{""kind"":""official"",""language"":""zh-Hans"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""贝贝""},{""kind"":""official_romanization"",""language"":""en"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""Bei Bei""},{""kind"":""pinyin"",""language"":""pinyin"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""Bèibèi""}],""record_tier"":""identity_first_pass"",""revision_summaries"":[{""locale"":""zh-CN"",""summary"":""完成身份、亲本、出生日期与现居基地的公开整理。""},{""locale"":""en"",""summary"":""Public review of identity, parentage, birth date, and current facility.""}],""sex"":""male""}"
2026.07.20.1,1.2.0,2939c16f-1938-5629-928c-b36b1d5cd6ed,mei-xiang,美香,Mei Xiang,female,alive,"{""aliases"":[{""kind"":""historic_spelling"",""language"":""en"",""source_ids"":[""src_smithsonian_history""],""value"":""Mei-Xiang""}],""canonical_slug"":""mei-xiang"",""content"":[{""locale"":""zh-CN"",""summary"":""曾生活于史密森国家动物园的雌性大熊猫，是泰山、宝宝、贝贝和小奇迹的母亲。"",""translation_status"":""approved""},{""locale"":""en"",""summary"":""Former Smithsonian female and mother of Tai Shan, Bao Bao, Bei Bei, and Xiao Qi Ji."",""translation_status"":""approved""}],""cover_image_url"":null,""external_identifiers"":[{""source_ids"":[""src_smithsonian_history""],""system"":""smithsonian_history_key"",""value"":""mei-xiang""}],""legacy_slugs"":[{""source_ids"":[""src_smithsonian_history""],""value"":""meixiang""},{""source_ids"":[""src_smithsonian_history""],""value"":""mei_xiang""}],""life_status"":""alive"",""media"":[],""media_release"":{""display_mode"":""designed_empty_state"",""license_state"":""no_licensed_media"",""source_ids"":[]},""names"":[{""kind"":""official"",""language"":""zh-Hans"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""美香""},{""kind"":""official_romanization"",""language"":""en"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""Mei Xiang""},{""kind"":""pinyin"",""language"":""pinyin"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""Měixiāng""}],""record_tier"":""complete_first_pass"",""revision_summaries"":[{""locale"":""zh-CN"",""summary"":""完成身份、出生日期、居住记录、迁移事件与公开来源的首轮整理。""},{""locale"":""en"",""summary"":""First public review of identity, birth date, residencies, transfer events, and sources.""}],""sex"":""female""}"
2026.07.20.1,1.2.0,38cd1cad-3e34-5511-bc35-a091ece74e11,tian-tian,添添,Tian Tian,male,alive,"{""aliases"":[{""kind"":""historic_spelling"",""language"":""en"",""source_ids"":[""src_smithsonian_history""],""value"":""Tian-Tian""}],""canonical_slug"":""tian-tian"",""content"":[{""locale"":""zh-CN"",""summary"":""曾生活于史密森国家动物园的雄性大熊猫，是泰山、宝宝、贝贝和小奇迹的父亲。"",""translation_status"":""approved""},{""locale"":""en"",""summary"":""Former Smithsonian male and father of Tai Shan, Bao Bao, Bei Bei, and Xiao Qi Ji."",""translation_status"":""approved""}],""cover_image_url"":null,""external_identifiers"":[{""source_ids"":[""src_smithsonian_history""],""system"":""smithsonian_history_key"",""value"":""tian-tian""}],""legacy_slugs"":[{""source_ids"":[""src_smithsonian_history""],""value"":""tiantian""},{""source_ids"":[""src_smithsonian_history""],""value"":""tian_tian""}],""life_status"":""alive"",""media"":[],""media_release"":{""display_mode"":""link_to_source"",""license_state"":""source_link_only"",""source_ids"":[""src_smithsonian_history""]},""names"":[{""kind"":""official"",""language"":""zh-Hans"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""添添""},{""kind"":""official_romanization"",""language"":""en"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""Tian Tian""},{""kind"":""pinyin"",""language"":""pinyin"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""Tiāntiān""}],""record_tier"":""complete_first_pass"",""sex"":""male""}"
2026.07.20.1,1.2.0,434e10e3-7ba0-5de7-a59e-d3984524c58c,bao-li,宝力,Bao Li,male,alive,"{""aliases"":[],""canonical_slug"":""bao-li"",""content"":[{""locale"":""zh-CN"",""summary"":""宝宝之子，是美香与添添的外孙，现居史密森国家动物园。"",""translation_status"":""approved""},{""locale"":""en"",""summary"":""Son of Bao Bao and grandson of Mei Xiang and Tian Tian, currently living at the Smithsonian's National Zoo."",""translation_status"":""approved""}],""cover_image_url"":null,""external_identifiers"":[{""source_ids"":[""src_smithsonian_giant_panda_faq""],""system"":""smithsonian_faq_key"",""value"":""bao-li""}],""legacy_slugs"":[{""source_ids"":[""src_smithsonian_giant_panda_faq""],""value"":""baoli""}],""life_status"":""alive"",""media"":[],""media_release"":{""display_mode"":""designed_empty_state"",""license_state"":""no_licensed_media"",""source_ids"":[]},""names"":[{""kind"":""official"",""language"":""zh-Hans"",""primary"":true,""source_ids"":[""src_smithsonian_giant_panda_faq""],""value"":""宝力""},{""kind"":""official_romanization"",""language"":""en"",""primary"":true,""source_ids"":[""src_smithsonian_giant_panda_faq""],""value"":""Bao Li""},{""kind"":""pinyin"",""language"":""pinyin"",""primary"":true,""source_ids"":[""src_smithsonian_giant_panda_faq""],""value"":""Bǎolì""}],""record_tier"":""identity_first_pass"",""revision_summaries"":[{""locale"":""zh-CN"",""summary"":""完成三代身份、母系亲缘与现居机构的公开整理。""},{""locale"":""en"",""summary"":""Public review of third-generation identity, maternal lineage, and current institution.""}],""sex"":""male""}"
2026.07.20.1,1.2.0,4dcff88b-9fa1-5fba-aa79-1aacb82ae28f,lun-lun,伦伦,Lun Lun,female,alive,"{""aliases"":[],""canonical_slug"":""lun-lun"",""content"":[{""locale"":""zh-CN"",""summary"":""曾生活于亚特兰大动物园的雌性大熊猫，是七只幼崽的母亲，2024 年返回成都基地。"",""translation_status"":""approved""},{""locale"":""en"",""summary"":""Former Zoo Atlanta female, mother of seven cubs; returned to Chengdu in 2024."",""translation_status"":""approved""}],""cover_image_url"":""https://api.zhipanda.com/media/releases/2026.07.20.1/media-lun-lun-a089c7f24bdfbc26-w1200.webp"",""external_identifiers"":[{""source_ids"":[""src_zooatlanta_lun_lun""],""system"":""zoo_atlanta_profile_key"",""value"":""lun-lun""}],""legacy_slugs"":[{""source_ids"":[""src_zooatlanta_lun_lun""],""value"":""lunlun""}],""life_status"":""alive"",""media"":[{""alt_en"":""Lun Lun sitting beside a wooden habitat structure at Zoo Atlanta"",""alt_zh"":""伦伦坐在亚特兰大动物园的木质栖架旁"",""bytes"":130622,""credit"":""O01326 / Wikimedia Commons"",""derivatives"":[{""bytes"":34690,""height"":320,""kind"":""width-480"",""mime_type"":""image/webp"",""sha256"":""be926c7f103a290d67c611c26b68e7249e1a7521a9a4f9cee39852f21a88d91c"",""url"":""https://api.zhipanda.com/media/releases/2026.07.20.1/media-lun-lun-a089c7f24bdfbc26-w480.webp"",""width"":480},{""bytes"":130622,""height"":800,""kind"":""width-1200"",""mime_type"":""image/webp"",""sha256"":""a8e714b320935368572d87b1fb6bd7a754eabf906e4b537acf498ec13f8b63b1"",""url"":""https://api.zhipanda.com/media/releases/2026.07.20.1/media-lun-lun-a089c7f24bdfbc26-w1200.webp"",""width"":1200}],""height"":800,""id"":""media-lun-lun-a089c7f24bdfbc26"",""mime_type"":""image/webp"",""panda_id"":""4dcff88b-9fa1-5fba-aa79-1aacb82ae28f"",""rights"":""CC BY-SA 4.0"",""sha256"":""a8e714b320935368572d87b1fb6bd7a754eabf906e4b537acf498ec13f8b63b1"",""source_ids"":[""src_commons_lun_lun_photo""],""source_url"":""https://commons.wikimedia.org/wiki/File:Lun_Lun_at_Zoo_Atlanta.jpg"",""status"":""available"",""url"":""https://api.zhipanda.com/media/releases/2026.07.20.1/media-lun-lun-a089c7f24bdfbc26-w1200.webp"",""width"":1200}],""media_release"":{""display_mode"":""gallery"",""license_state"":""licensed"",""source_ids"":[""src_commons_lun_lun_photo""]},""names"":[{""kind"":""official"",""language"":""zh-Hans"",""primary"":true,""source_ids"":[""src_zooatlanta_arrival_china_2024"",""src_zooatlanta_lun_lun""],""value"":""伦伦""},{""kind"":""official_romanization"",""language"":""en"",""primary"":true,""source_ids"":[""src_zooatlanta_arrival_china_2024"",""src_zooatlanta_lun_lun""],""value"":""Lun Lun""}],""record_tier"":""complete_first_pass"",""revision_summaries"":[{""locale"":""zh-CN"",""summary"":""完成身份、出生、居住、事件、亲缘与授权照片的首轮公开整理。""},{""locale"":""en"",""summary"":""Reviewed identity, birth, residency, events, lineage, and media.""}],""sex"":""female""}"
2026.07.20.1,1.2.0,7cf4e916-4801-5b2e-b49b-4e33bb50d5d6,bao-bao,宝宝,Bao Bao,female,alive,"{""aliases"":[],""canonical_slug"":""bao-bao"",""content"":[{""locale"":""zh-CN"",""summary"":""美香与添添之女，2013 年出生于史密森国家动物园，也是宝力的母亲。"",""translation_status"":""approved""},{""locale"":""en"",""summary"":""Daughter of Mei Xiang and Tian Tian, born at the Smithsonian in 2013, and mother of Bao Li."",""translation_status"":""approved""}],""cover_image_url"":null,""external_identifiers"":[{""source_ids"":[""src_smithsonian_history""],""system"":""smithsonian_history_key"",""value"":""bao-bao""}],""legacy_slugs"":[{""source_ids"":[""src_smithsonian_history""],""value"":""baobao-smithsonian""}],""life_status"":""alive"",""media"":[],""media_release"":{""display_mode"":""designed_empty_state"",""license_state"":""no_licensed_media"",""source_ids"":[]},""names"":[{""kind"":""official"",""language"":""zh-Hans"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""宝宝""},{""kind"":""official_romanization"",""language"":""en"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""Bao Bao""},{""kind"":""pinyin"",""language"":""pinyin"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""Bǎobǎo""}],""record_tier"":""identity_first_pass"",""revision_summaries"":[{""locale"":""zh-CN"",""summary"":""完成身份、亲本、出生日期、子代关系与国家级现居记录的公开整理。""},{""locale"":""en"",""summary"":""Public review of identity, parentage, birth date, offspring relationship, and country-level current residency.""}],""sex"":""female""}"
2026.07.20.1,1.2.0,926abc78-1e79-55c6-b24a-d33b4e5f6443,xiao-qi-ji,小奇迹,Xiao Qi Ji,male,alive,"{""aliases"":[],""canonical_slug"":""xiao-qi-ji"",""content"":[{""locale"":""zh-CN"",""summary"":""美香与添添之子，2020 年出生于史密森国家动物园，并于 2023 年随父母返回中国。"",""translation_status"":""approved""},{""locale"":""en"",""summary"":""Son of Mei Xiang and Tian Tian, born at the Smithsonian in 2020 and returned to China with his parents in 2023."",""translation_status"":""approved""}],""cover_image_url"":null,""external_identifiers"":[{""source_ids"":[""src_smithsonian_history""],""system"":""smithsonian_history_key"",""value"":""xiao-qi-ji""}],""legacy_slugs"":[{""source_ids"":[""src_smithsonian_history""],""value"":""xiaoqiji""},{""source_ids"":[""src_smithsonian_history""],""value"":""xiao_qi_ji""}],""life_status"":""alive"",""media"":[],""media_release"":{""display_mode"":""designed_empty_state"",""license_state"":""no_licensed_media"",""source_ids"":[]},""names"":[{""kind"":""official"",""language"":""zh-Hans"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""小奇迹""},{""kind"":""official_romanization"",""language"":""en"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""Xiao Qi Ji""},{""kind"":""pinyin"",""language"":""pinyin"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""Xiǎoqíjì""}],""record_tier"":""identity_first_pass"",""revision_summaries"":[{""locale"":""zh-CN"",""summary"":""完成身份、亲本、出生日期、多人回国事件与现居基地的公开整理。""},{""locale"":""en"",""summary"":""Public review of identity, parentage, birth date, shared return event, and current facility.""}],""sex"":""male""}"
2026.07.20.1,1.2.0,96d00a39-7865-55db-b5c2-f339ef692258,tai-shan,泰山,Tai Shan,male,alive,"{""aliases"":[],""canonical_slug"":""tai-shan"",""content"":[{""locale"":""zh-CN"",""summary"":""美香与添添之子，2005 年出生于史密森国家动物园，现有公开证据仅确认其已返回中国。"",""translation_status"":""approved""},{""locale"":""en"",""summary"":""Son of Mei Xiang and Tian Tian, born at the Smithsonian in 2005; current public evidence confirms only his return to China."",""translation_status"":""approved""}],""cover_image_url"":null,""external_identifiers"":[{""source_ids"":[""src_smithsonian_history""],""system"":""smithsonian_history_key"",""value"":""tai-shan""}],""legacy_slugs"":[{""source_ids"":[""src_smithsonian_history""],""value"":""taishan""}],""life_status"":""alive"",""media"":[],""media_release"":{""display_mode"":""designed_empty_state"",""license_state"":""no_licensed_media"",""source_ids"":[]},""names"":[{""kind"":""official"",""language"":""zh-Hans"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""泰山""},{""kind"":""official_romanization"",""language"":""en"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""Tai Shan""},{""kind"":""pinyin"",""language"":""pinyin"",""primary"":true,""source_ids"":[""src_smithsonian_history""],""value"":""Tàishān""}],""record_tier"":""identity_first_pass"",""revision_summaries"":[{""locale"":""zh-CN"",""summary"":""完成身份、亲本、出生日期与国家级现居记录的公开整理。""},{""locale"":""en"",""summary"":""Public review of identity, parentage, birth date, and country-level current residency.""}],""sex"":""male""}"
2026.07.20.1,1.2.0,db108e44-8893-54e1-8cb5-8c5238b75089,yang-yang,洋洋,Yang Yang,male,alive,"{""aliases"":[],""canonical_slug"":""yang-yang"",""content"":[{""locale"":""zh-CN"",""summary"":""曾生活于亚特兰大动物园的雄性大熊猫，是七只幼崽的父亲，2024 年返回成都基地。"",""translation_status"":""approved""},{""locale"":""en"",""summary"":""Former Zoo Atlanta male, father of seven cubs; returned to Chengdu in 2024."",""translation_status"":""approved""}],""cover_image_url"":""https://api.zhipanda.com/media/releases/2026.07.20.1/media-yang-yang-8e30a6c81892cbde-w1200.webp"",""external_identifiers"":[{""source_ids"":[""src_zooatlanta_yang_yang""],""system"":""zoo_atlanta_profile_key"",""value"":""yang-yang""}],""legacy_slugs"":[{""source_ids"":[""src_zooatlanta_yang_yang""],""value"":""yangyang""}],""life_status"":""alive"",""media"":[{""alt_en"":""Yang Yang resting in his habitat at Zoo Atlanta"",""alt_zh"":""洋洋在亚特兰大动物园的栖息地内休息"",""bytes"":106314,""credit"":""O01326 / Wikimedia Commons"",""derivatives"":[{""bytes"":23356,""height"":320,""kind"":""width-480"",""mime_type"":""image/webp"",""sha256"":""29994d619b7d21af748b2ce87af3fc8839797923facda6c115febfa9e9c239fa"",""url"":""https://api.zhipanda.com/media/releases/2026.07.20.1/media-yang-yang-8e30a6c81892cbde-w480.webp"",""width"":480},{""bytes"":106314,""height"":800,""kind"":""width-1200"",""mime_type"":""image/webp"",""sha256"":""27fc253e44cdc6b908e0d48b933de1bd0b078a4c511abcab1c681cc412148976"",""url"":""https://api.zhipanda.com/media/releases/2026.07.20.1/media-yang-yang-8e30a6c81892cbde-w1200.webp"",""width"":1200}],""height"":800,""id"":""media-yang-yang-8e30a6c81892cbde"",""mime_type"":""image/webp"",""panda_id"":""db108e44-8893-54e1-8cb5-8c5238b75089"",""rights"":""CC BY-SA 4.0"",""sha256"":""27fc253e44cdc6b908e0d48b933de1bd0b078a4c511abcab1c681cc412148976"",""source_ids"":[""src_commons_yang_yang_photo""],""source_url"":""https://commons.wikimedia.org/wiki/File:Yang_Yang_at_Zoo_Atlanta.jpg"",""status"":""available"",""url"":""https://api.zhipanda.com/media/releases/2026.07.20.1/media-yang-yang-8e30a6c81892cbde-w1200.webp"",""width"":1200}],""media_release"":{""display_mode"":""gallery"",""license_state"":""licensed"",""source_ids"":[""src_commons_yang_yang_photo""]},""names"":[{""kind"":""official"",""language"":""zh-Hans"",""primary"":true,""source_ids"":[""src_zooatlanta_arrival_china_2024"",""src_zooatlanta_yang_yang""],""value"":""洋洋""},{""kind"":""official_romanization"",""language"":""en"",""primary"":true,""source_ids"":[""src_zooatlanta_arrival_china_2024"",""src_zooatlanta_yang_yang""],""value"":""Yang Yang""}],""record_tier"":""complete_first_pass"",""revision_summaries"":[{""locale"":""zh-CN"",""summary"":""完成身份、出生、居住、事件、亲缘与授权照片的首轮公开整理。""},{""locale"":""en"",""summary"":""Reviewed identity, birth, residency, events, lineage, and media.""}],""sex"":""male""}"
2026.07.20.1,1.2.0,fa8a0c14-b937-5de5-ae65-482cfd744482,ya-lun,雅伦,Ya Lun,female,alive,"{""aliases"":[],""canonical_slug"":""ya-lun"",""content"":[{""locale"":""zh-CN"",""summary"":""伦伦与洋洋之女，2016 年出生于亚特兰大动物园，2024 年返回成都基地。"",""translation_status"":""approved""},{""locale"":""en"",""summary"":""Daughter of Lun Lun and Yang Yang; born in Atlanta in 2016 and returned in 2024."",""translation_status"":""approved""}],""cover_image_url"":""https://api.zhipanda.com/media/releases/2026.07.20.1/media-ya-lun-4006c2e608f8e671-w1200.webp"",""external_identifiers"":[{""source_ids"":[""src_zooatlanta_cubs_birth""],""system"":""zoo_atlanta_profile_key"",""value"":""ya-lun""}],""legacy_slugs"":[{""source_ids"":[""src_zooatlanta_cubs_birth""],""value"":""yalun""}],""life_status"":""alive"",""media"":[{""alt_en"":""Ya Lun sitting in her habitat at Zoo Atlanta"",""alt_zh"":""雅伦在亚特兰大动物园的栖息地内坐着"",""bytes"":113818,""credit"":""O01326 / Wikimedia Commons"",""derivatives"":[{""bytes"":24312,""height"":320,""kind"":""width-480"",""mime_type"":""image/webp"",""sha256"":""76fff6de4f34f0ba9b309990e4a2c744bab40fea27d1d1a38bae70343a7f2c7c"",""url"":""https://api.zhipanda.com/media/releases/2026.07.20.1/media-ya-lun-4006c2e608f8e671-w480.webp"",""width"":480},{""bytes"":113818,""height"":800,""kind"":""width-1200"",""mime_type"":""image/webp"",""sha256"":""ed3da4dafc03ad635ca30302b4fad4aa5b0e00aca20b0fc5746d2946ec3a75ff"",""url"":""https://api.zhipanda.com/media/releases/2026.07.20.1/media-ya-lun-4006c2e608f8e671-w1200.webp"",""width"":1200}],""height"":800,""id"":""media-ya-lun-4006c2e608f8e671"",""mime_type"":""image/webp"",""panda_id"":""fa8a0c14-b937-5de5-ae65-482cfd744482"",""rights"":""CC BY-SA 4.0"",""sha256"":""ed3da4dafc03ad635ca30302b4fad4aa5b0e00aca20b0fc5746d2946ec3a75ff"",""source_ids"":[""src_commons_ya_lun_photo""],""source_url"":""https://commons.wikimedia.org/wiki/File:Ya_Lun_at_Zoo_Atlanta.jpg"",""status"":""available"",""url"":""https://api.zhipanda.com/media/releases/2026.07.20.1/media-ya-lun-4006c2e608f8e671-w1200.webp"",""width"":1200}],""media_release"":{""display_mode"":""gallery"",""license_state"":""licensed"",""source_ids"":[""src_commons_ya_lun_photo""]},""names"":[{""kind"":""official"",""language"":""zh-Hans"",""primary"":true,""source_ids"":[""src_zooatlanta_arrival_china_2024"",""src_zooatlanta_cubs_birth"",""src_zooatlanta_twins_names""],""value"":""雅伦""},{""kind"":""official_romanization"",""language"":""en"",""primary"":true,""source_ids"":[""src_zooatlanta_arrival_china_2024"",""src_zooatlanta_cubs_birth"",""src_zooatlanta_twins_names""],""value"":""Ya Lun""}],""record_tier"":""complete_first_pass"",""revision_summaries"":[{""locale"":""zh-CN"",""summary"":""完成身份、出生、居住、事件、亲缘与授权照片的首轮公开整理。""},{""locale"":""en"",""summary"":""Reviewed identity, birth, residency, events, lineage, and media.""}],""sex"":""female""}"
